ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
15.96062,7.889745,4.726925,6.244148,2.95344,-0.1015752,0.2791662,-41.02602,19.10169,,LEFT_ACCELERATE
14.58055,7.518315,5.509392,6.234796,2.996214,1.361705,0.2791629,-40.75519,19.2016,,LEFT_ACCELERATE
13.58472,7.17762,6.842558,6.12566,3.142523,2.834147,0.2791625,-40.46431,19.3024,,LEFT_ACCELERATE
13.42917,7.059848,7.286369,6.002451,3.260388,4.266274,0.2791758,-40.0516,19.40265,,LEFT_ACCELERATE
14.08755,7.209084,6.307146,5.944479,3.276371,5.598713,0.2791976,-39.45327,19.50103,,LEFT_ACCELERATE
15.61175,7.700658,5.037684,6.048147,3.154049,6.840686,0.2792159,-38.59188,19.60298,,LEFT_ACCELERATE
17.54075,8.4107,4.078392,6.319374,2.922482,7.846957,0.2792189,-37.56036,19.70029,,LEFT_ACCELERATE
19.98975,9.324638,3.209884,6.767534,2.548513,8.68865,0.2792089,-36.307,19.80229,,LEFT_ACCELERATE
-1,9.992198,2.567559,7.233896,2.10587,9.331792,0.2791922,-34.99939,19.90047,,LEFT_ACCELERATE
-1,10.24377,2.098685,7.624633,1.663668,9.909639,0.2791745,-33.60825,20.00167,,LEFT_ACCELERATE
-1,9.998173,1.915815,7.828903,1.382756,10.48731,0.2791657,-32.242,20.10128,,ACCELERATE
-1,9.560176,2.034923,7.898274,1.30254,11.11452,0.2791635,-30.8603,20.20318,,RIGHT_ACCELERATE
18.04217,8.845931,2.808175,7.83081,1.468666,11.79572,0.2791659,-29.56017,20.3018,,RIGHT_ACCELERATE
16.2837,8.185135,4.41951,7.604058,1.851778,12.53987,0.2791618,-28.24949,20.40299,,ACCELERATE
14.89759,7.540825,6.939535,7.285205,2.361851,13.26908,0.2791614,-26.96546,20.50213,,LEFT_ACCELERATE
14.80597,6.982616,8.110941,6.806233,2.918458,13.95961,0.2791624,-25.63141,20.60306,,LEFT_ACCELERATE
17.14817,6.707867,7.540706,6.312004,3.313084,14.48576,0.2791834,-24.27863,20.70071,,LEFT_ACCELERATE
-1,6.852298,6.381206,5.90189,3.49103,14.80845,0.2791978,-22.82102,20.80128,,LEFT_ACCELERATE
-1,7.283438,5.623309,5.716587,3.538965,14.91713,0.2791898,-21.34628,20.90081,,LEFT_ACCELERATE
-1,7.658975,5.245097,5.693471,3.518626,14.9126,0.2791736,-19.84893,21.0014,,LEFT_ACCELERATE
-1,7.718989,5.192036,5.701511,3.507632,14.90455,0.2791652,-18.37651,21.10027,,ACCELERATE
-1,7.494684,5.401464,5.670215,3.552264,14.94882,0.2791658,-16.83525,21.20385,,RIGHT_ACCELERATE
-1,7.147079,5.793217,5.557387,3.688189,15.07602,0.2791625,-15.38741,21.30146,,ACCELERATE
-1,6.952421,6.031214,5.408709,3.837378,15.22288,0.2791604,-13.88448,21.40285,,ACCELERATE
-1,6.768239,6.256445,5.26555,3.980566,15.36513,0.2791598,-12.44177,21.50017,,ACCELERATE
-1,6.57668,6.490676,5.116506,4.129608,15.51279,0.2791593,-10.95263,21.60064,,ACCELERATE
-1,6.381171,6.729731,4.96437,4.281736,15.66394,0.2791582,-9.433878,21.7031,,ACCELERATE
-1,6.195328,6.956945,4.819744,4.426353,15.80775,0.279161,-7.992377,21.80035,,ACCELERATE
-1,6.004071,7.190775,4.670901,4.575185,15.95588,0.279162,-6.509934,21.90037,,ACCELERATE
-1,5.813918,7.42323,4.522912,4.723163,16.10571,0.2791588,-5.011812,22.00144,,ACCELERATE
-1,5.619172,7.661283,4.371353,4.874707,16.25499,0.2791591,-3.520212,22.10208,,ACCELERATE
-1,5.456629,7.837141,4.223088,5.017937,16.39926,0.2791596,-2.042449,22.20177,,LEFT_ACCELERATE
-1,5.615315,7.480451,4.129357,5.078025,16.47343,0.2791624,-0.5757042,22.30045,,LEFT_ACCELERATE
-1,5.856955,7.155516,4.146899,5.053113,16.45164,0.279164,0.9113466,22.40033,,LEFT_ACCELERATE
-1,5.901072,7.110301,4.174779,5.025225,16.42459,0.2791617,2.414341,22.50126,,ACCELERATE
-1,5.925406,7.086103,4.192571,5.007433,16.4072,0.2791603,3.925772,22.60274,,ACCELERATE
-1,5.940233,7.071373,4.203496,4.996508,16.39638,0.2791597,5.404655,22.70202,,ACCELERATE
-1,5.949541,7.062121,4.21034,4.989664,16.38957,0.2791602,6.892257,22.8019,,ACCELERATE
-1,5.955271,7.056422,4.214546,4.985458,16.3854,0.2791598,8.408832,22.90372,,ACCELERATE
-1,5.958436,7.053273,4.216854,4.98315,16.38313,0.2791603,9.893877,23.00341,,ACCELERATE
-1,5.959944,7.051769,4.21795,4.982054,16.38205,0.2791606,11.35601,23.10158,,ACCELERATE
-1,5.960409,7.051301,4.218275,4.98173,16.38174,0.2791597,12.86796,23.20308,,ACCELERATE
-1,5.960148,7.051553,4.218063,4.981941,16.38197,0.27916,14.34687,23.30236,,ACCELERATE
-1,5.959383,7.05231,4.217483,4.982521,16.38256,0.2791598,15.87838,23.40519,,ACCELERATE
-1,5.958328,7.053354,4.216688,4.983316,16.38334,0.27916,17.32109,23.50205,,ACCELERATE
-1,5.957097,7.054576,4.215765,4.98424,16.38427,0.2791598,18.78007,23.59999,,ACCELERATE
-1,5.955673,7.055973,4.214696,4.985308,16.38533,0.2791598,20.30726,23.70252,,ACCELERATE
-1,5.954242,7.057413,4.213615,4.986389,16.38642,0.2791597,21.78413,23.80166,,ACCELERATE
-1,5.952788,7.058848,4.212522,4.987482,16.38754,0.2791596,23.26517,23.9011,,ACCELERATE
-1,5.951256,7.060358,4.211373,4.98863,16.38866,0.2791613,24.74673,24.00056,,ACCELERATE
-1,5.949751,7.061851,4.21024,4.989763,16.38979,0.2791597,26.2324,24.1003,,ACCELERATE
-1,5.948225,7.063365,4.209092,4.990911,16.39094,0.27916,27.75975,24.20284,,ACCELERATE
-1,5.946747,7.064823,4.207978,4.992025,16.39206,0.2791601,29.25427,24.30317,,ACCELERATE
-1,5.945345,7.066212,4.206918,4.993085,16.39312,0.2791598,30.69973,24.40021,,ACCELERATE
19.35881,5.943885,7.07317,4.205817,4.994186,16.39421,0.2791608,32.21675,24.50205,,ACCELERATE
